Left Upper Arm,Left Lower Arm,Right Upper Arm,Right Lower Arm,Left Thigh,Left Lower Leg,Right Thigh,Right Lower Leg,Left Eye to Nose,Right Eye to Nose,File Name
,,257.4085374348633,261.4966962314855,334.2130065573975,,329.5616370611177,399.9811818234712,29.349998847033028,49.50724107829483,p003_31415.png
268.11918582156335,156.67848450359594,199.00562094177033,,348.99810939751933,302.3931425967211,,,39.48781589453473,26.855040281470203,p003_42.png
177.71422599458842,149.86076871675095,244.2332471053077,182.06024523872014,369.7116596277806,,282.12163803613475,,51.255904865242684,30.82816148892801,p003_8675309.png
287.3522553308797,179.09688063567845,288.8679438941359,178.1381911533558,,,,,54.76130131889829,29.93607104458276,p004_1234.png
,,349.18661777731893,,,,,,91.00694002056238,85.34089612065168,p004_27182.png
364.4077270781122,202.87374790971438,401.3345802973389,,,,,,57.04075713788022,69.45211133762615,p004_31415.png
362.14607626752013,,376.0026031502394,,,,,,62.695418998813714,61.30613405570428,p004_42.png
224.5507059327904,197.54372311535076,227.76447698653516,195.900490536592,277.12084716086383,,,,37.596255403784355,35.06886263132897,p004_8675309.png
249.4147606086511,193.13585844807614,249.50885588887198,240.0109802686692,337.5774240752573,,410.60608921933795,,37.63570042910056,39.46467529912662,p005_1234.png
280.60225580017305,226.20883358292147,297.39375117695386,340.4021060717196,,,,,49.39323858805814,55.21261111002521,p005_27182.png
351.84785846029115,266.6814898081058,360.3533637660315,285.7091409085192,,,,,47.333777576101106,51.16235522832493,p005_31415.png
268.0261252626414,186.00018498523113,229.32614001695856,129.35270747271343,,,355.9033766214898,,26.936616721433868,39.652428230902025,p005_42.png
,,285.3073684240203,,,,,,48.105678173222124,47.10850783638604,p005_8675309.png
307.1364850707504,182.86586380210954,201.26416522765336,226.64655622580221,425.1701820616045,,,351.18336092898,50.43234242345236,26.68227273348086,p006_1234.png
338.39167039206905,276.64364446376794,297.6409358634763,236.20784358539035,477.42733973196823,,383.2350412588552,,50.62835317786691,25.790029220741012,p006_27182.png
285.4972446820728,215.27430156407738,215.93609504508186,212.33417423515255,,,,,45.764565966691706,36.42280740418637,p006_31415.png
276.4972022026705,207.35804009928665,189.2964981878014,179.92429606782596,,,,310.35693446846824,43.27514084946878,34.9646755182827,p006_42.png
218.86631394607025,105.50516599806474,268.84548393571055,293.8866790404368,271.7868909696068,383.1377873984767,324.2340178281694,326.2814337541534,43.26315953849713,39.19371927249631,p006_8675309.png
261.78724638132485,186.3450661071408,269.39486832806745,234.815617723954,,,,,47.45367758517201,42.3392482011117,p007_1234.png
389.3444525189039,,348.426934788527,,,,,,80.08728141337056,80.92357659002185,p007_27182.png
331.2835955308886,198.67728502254874,342.7125675185008,244.00725856854194,,,,,60.049027798401,52.31997289623778,p007_31415.png
,,338.3205297226306,238.63865622476342,,,,,41.21788163975637,58.1182550671842,p007_42.png
252.23760305373028,224.0155845932353,233.96907612546494,188.82234251032776,,,245.52481733720404,,40.855735539048666,31.854298751453076,p007_8675309.png
269.091053343418,239.94090109634266,270.4196924281459,224.28143865417,,,,,45.11612440143146,33.1068348524279,p008_1234.png
304.37088086718603,196.45394753697337,294.67799085372087,302.7924119347417,,,,,56.52439682135447,52.199686500136444,p008_27182.png
348.26114659025734,284.6340405217271,328.46340661453456,286.97937055251657,,,,,48.289280926980815,53.82017164565447,p008_31415.png
306.1545520609185,280.3927941301041,326.9517296739018,295.1940171984444,,,,,25.999244685888577,58.054900234386295,p008_42.png
277.5988250536932,241.53521633726157,320.3053404823861,257.2903743131024,,,,,58.96561773298603,27.99659015886747,p008_8675309.png
235.76220537902438,191.74743152498928,278.2935136749921,297.4615461902681,275.16546464294277,,348.5295612487684,,33.82224453501081,48.12985364287848,p009_1234.png
234.98444314417088,86.79634781790035,269.8811158325169,250.5691913607723,257.3248203417269,,322.7563949689129,,31.312559783287686,46.08043911894834,p009_27182.png
254.81303365157473,222.28442933581368,225.9817977323394,,327.82433878075045,419.37187931132564,,,44.02516257182568,30.295162075454797,p009_31415.png
243.90444769082978,227.0183277482308,149.87613341772507,162.44539468941304,147.97462646565606,214.8866548114764,218.65980859094137,383.10771358674873,45.28080582846555,37.7401366930344,p009_42.png
270.2592477727574,259.77636734144204,260.62112109703116,238.9765470356859,417.7159330352548,378.94699988148034,,,35.851608809409726,52.60136247027905,p009_8675309.png
260.3288997772055,186.57981576848786,263.01674210931697,236.0655955196253,,,,,41.7055614249649,47.85802300379297,p010_1234.png
194.37186762386762,101.79429826594908,188.80993185784962,70.29032662926367,325.719107642697,,314.0857753646954,,32.251655917767756,36.87432270582981,p010_27182.png
210.47538443052122,184.6220776504471,213.84940542874546,183.04235897842585,295.1681523192582,,294.44196283949583,,37.74477579351472,33.27528814008287,p010_31415.png
295.91692219396487,232.50294086027444,293.7988695986476,99.90089119693515,,,,,54.427012921583,47.5783258943757,p010_42.png
234.18000847413495,212.29102177817276,210.75139348427854,184.97556192856325,,,290.36628002746085,,28.23670110066995,38.61094097096782,p010_8675309.png
232.42657341810727,257.2529865680528,242.87156725842985,225.28537977326724,273.8082766170356,,,,26.528017542389353,46.34114068672633,p011_1234.png
277.4795043277157,225.99915224999495,284.308146494902,312.1122280882093,327.3992085611238,,,,50.83793836942318,58.675112653941305,p011_27182.png
300.6638725270568,,335.5051488916853,224.65630684755075,,,,,63.73329251748299,51.879928830138105,p011_31415.png
229.98577942867584,195.22249746145857,192.08144180214583,159.865574248118,319.9019572275309,,238.85478125309965,,42.203714498759666,36.91785642183772,p011_42.png
254.7770556774969,207.90004674772194,227.15261692156068,86.13270041881249,,,,,56.170963676490004,38.594652045071165,p011_8675309.png
282.25456865913054,195.32777145870347,217.32466695295128,,378.3017391198926,,,353.0402740314659,47.89455692327071,42.4870615097894,p012_1234.png
320.6889428764022,247.04339693248883,,,388.26767432209914,,,,52.325886622326706,30.152919862875763,p012_27182.png
281.5147096055436,260.57219582762235,258.2670822473559,201.81306746569507,159.9386308786379,,290.0272960904192,,50.404832646879015,50.89488526113811,p012_31415.png
263.36982527270555,238.06645400838133,144.19819221707118,194.99027746552792,,,,321.7372774886968,42.94930423535957,33.5855091441278,p012_42.png
199.47886692285914,29.670426454313038,248.6676754937944,213.11193400681447,364.27983828366956,,260.35148787990136,,49.56477912859898,38.97041801513288,p012_8675309.png
268.7775397070905,242.6691228970238,290.7758849050025,238.73792633988236,,,,,51.249459322135934,35.022320710598585,p013_1234.png
,,350.43247792104097,,,,,,92.14704762370884,82.77618492517085,p013_27182.png
397.97474820192093,,387.3967497307799,,,,,,54.79308682284821,66.35385255267812,p013_31415.png
357.93782780460145,173.54624172907913,376.5504257245359,211.77740157858318,,,,,62.36240942411427,57.31063872901405,p013_42.png
