Left Upper Arm,Left Lower Arm,Right Upper Arm,Right Lower Arm,Left Thigh,Left Lower Leg,Right Thigh,Right Lower Leg,Left Eye to Nose,Right Eye to Nose,File Name
276.2172767068301,219.4040632046049,234.9845111900477,209.1739230991239,271.84735458236065,,291.3596602327958,,48.7211113801687,40.17297106332135,p003_1234.png
259.2481553470515,256.87493949445354,248.6221560227804,148.68093942169952,388.24083654589407,,349.3747812647121,268.8701466360764,47.621898797533625,40.83460958208062,p003_27182.png
248.77057009732573,203.39967471346438,270.6148360671701,263.97963927237976,200.23045862587097,,283.7546479730534,,34.26899375104375,49.91354057458811,p003_31415.png
270.9792296029003,269.18382691834773,299.44359660612383,297.1945748936048,309.29114952823556,,403.4246692864878,,48.80486245002472,54.9642579673828,p003_42.png
277.35993631845645,261.0395095392163,275.111926502256,234.92896817983703,,,247.10664607340945,,45.451142982630216,50.71456438718707,p003_8675309.png
226.74496507491602,198.86408689105798,209.93107924626713,183.79485277051964,243.1067917140368,,257.9010063531902,,35.17636209805225,38.20300846703557,p004_1234.png
263.2367319670601,216.2105749911009,240.40659017833676,210.08496708697336,,,,,36.91739470303787,41.563002902289746,p004_27182.png
267.7690644528406,241.69149588464182,293.7237748647374,244.93378759594486,,,,,44.554213548160305,47.57180794737984,p004_31415.png
252.80848144929968,202.42554759693724,264.2218277753567,211.69718647743824,,,,,37.95516241748498,40.80235397880645,p004_42.png
229.80152267853086,165.64567215624467,277.1616193365755,238.46528704017217,,,,,45.059444095394284,46.24397791695829,p004_8675309.png
222.58484057544328,210.2847408934609,236.50422044703086,189.95952612941662,273.87487802847085,,260.5809793136392,,41.0217461203124,32.21361929637437,p005_1234.png
280.6706667677312,260.22721189536895,261.68902541346506,223.02367746395387,,,,,39.62716392329586,33.22585907787927,p005_27182.png
261.75850236791683,213.472010065791,240.01040703500917,209.53355789153406,,,,,48.4837040950644,36.725710756532095,p005_31415.png
258.2582324530661,168.51022031856544,305.05103882143334,276.84676599232546,,,,,44.38118943753335,43.24297511362909,p005_42.png
